User_ID,Calories
1,603.36
2,612.66
3,282.87
4,418.3
5,424.74
6,478.52
7,390.69
8,394.12
9,544.04
10,315.39
11,273.8
12,523.35
13,622.93
14,364.76
15,161.95
16,267.51
17,335.4
18,223.5
19,644.39
20,547.33
21,383.54
22,103.75
23,420.75
24,182.12
25,255.86
26,162.15
27,549.95
28,672.32
29,333.35
30,399.68
31,647.77
32,348.2
33,686.04
34,152.8
35,369.14
36,262.68
37,278.53
38,527.15
39,444.8
40,685.68
41,74.63
42,581.15
43,632.18
44,98.51
45,185.9
46,157.38
47,563.81
48,581.08
49,325.56
50,551.64
51,507.45
52,399.2
53,602.28
54,467.45
55,871.26
56,680.34
57,464.16
58,458.82
59,696.75
60,550.99
61,86.96
62,356.66
63,326.31
64,547.15
65,492.7
66,630.94
67,519.4
68,322.67
69,234.71
70,155.78
71,290.5
72,341.96
73,519.3
74,523.09
75,302.72
76,313.09
77,372.25
78,150.88
79,219.93
80,539.72
81,366.35
82,555.79
83,138.05
84,275.1
85,625.33
86,516.95
87,208.91
88,541.56
89,82.88
90,500.01
91,189.82
92,220.01
93,344.58
94,333.72
95,456.73
96,554.31
97,617.03
98,388.05
99,376.83
100,617.83
101,736.02
102,544.9
103,269.47
104,260.37
105,238.45
106,413.98
107,91.41
108,687.32
109,202.77
110,364.25
111,233.26
112,475.65
113,482.21
114,153.25
115,303.42
116,681.56
117,754.87
118,280.6
119,484.52
120,586.07
121,127.84
122,653.01
123,413.01
124,758.55
125,221.73
126,245.22
127,357.04
128,391.72
129,455.45
130,511.58
131,108.45
132,615.52
133,650.14
134,209.51
135,607.62
136,527.9
137,309.75
138,131.44
139,565.59
140,306.56
141,170.44
142,407.67
143,526.6
144,533.6
145,339.94
146,495.21
147,265.31
148,487.37
149,141.78
150,394.77
151,622.63
152,825.4
153,362.42
154,241.7
155,202.26
156,414.21
157,220.97
158,96.02
159,694.09
160,210.43
161,453.84
162,358.11
163,471.45
164,588.09
165,280.27
166,169.39
167,231.94
168,289.85
169,473.07
170,213.27
171,384.69
172,622.77
173,129.93
174,154.47
175,360.96
176,136.96
177,276.95
178,425.36
179,96.87
180,693.34
181,522.07
182,497.68
183,430.5
184,333.31
185,202.32
186,499.77
187,334.54
188,457.54
189,571.65
190,430.77
191,281.71
192,384.91
193,608.48
194,208.99
195,368.77
196,90.11
197,603.49
198,397.61
199,167.13
200,541.61
201,414.48
202,467.94
203,853.7
204,132.83
205,362.85
206,104.66
207,402.98
208,754.92
209,251.09
210,403.04
211,401.38
212,763.81
213,512.45
214,624.05
215,420.43
216,420.76
217,392.7
218,506.65
219,425.75
220,434.04
221,405.93
222,159.25
223,441.05
224,667.11
225,271.95
226,281.52
227,661.21
228,618.76
229,410.14
230,389.94
231,561.26
232,698.09
233,154.32
234,534.74
235,145.58
236,442.49
237,236.16
238,160.45
239,455.22
240,202.67
241,383.37
242,505.25
243,103.05
244,622.74
245,155.22
246,150.63
247,161.85
248,362.28
249,364.86
250,247.76
251,220.82
252,571.5
253,177.4
254,113.04
255,531.05
256,507.63
257,511.25
258,284.38
259,113.86
260,638.88
261,202.08
262,506.6
263,346.0
264,632.95
265,715.86
266,493.02
267,349.63
268,382.43
269,502.29
270,283.04
271,247.77
272,470.27
273,157.3
274,246.16
275,162.28
276,437.55
277,213.14
278,376.36
279,126.81
280,683.13
281,501.7
282,79.85
283,203.41
284,437.74
285,243.69
286,697.68
287,651.28
288,521.3
289,447.41
290,238.67
291,469.96
292,104.46
293,467.96
294,136.35
295,364.14
296,354.14
297,156.53
298,230.78
299,386.2
300,437.79
301,448.65
302,591.41
303,666.81
304,229.08
305,296.37
306,345.17
307,146.19
308,208.82
309,374.09
310,229.61
311,403.0
312,672.46
313,316.05
314,830.94
315,486.27
316,360.71
317,385.13
318,336.67
319,590.55
320,505.96
321,657.6
322,105.04
323,719.19
324,73.92
325,105.57
326,204.51
327,255.08
328,222.97
329,183.73
330,483.71
331,647.19
332,781.99
333,80.26
334,145.46
335,294.46
336,502.67
337,661.55
338,233.33
339,557.36
340,304.56
341,492.49
342,338.08
343,270.48
344,401.8
345,139.26
346,603.92
347,387.94
348,558.75
349,396.54
350,614.8
351,350.44
352,246.09
353,633.02
354,81.85
355,188.34
356,737.33
357,653.83
358,115.88
359,135.94
360,444.6
361,129.31
362,696.33
363,434.63
364,374.54
365,604.21
366,674.61
367,613.92
368,434.36
369,510.12
370,425.45
371,508.8
372,515.27
373,217.14
374,195.99
375,458.16
376,629.0
377,679.16
378,197.65
379,243.11
380,385.18
381,663.2
382,295.69
383,342.4
384,503.52
385,548.12
386,413.23
387,787.83
388,610.66
389,584.06
390,289.33
391,754.17
392,300.61
393,387.8
394,147.32
395,583.5
396,176.71
397,413.84
398,572.62
399,89.33
400,644.3
401,362.76
402,430.88
403,307.9
404,828.12
405,442.8
406,66.58
407,359.97
408,613.5
409,300.52
410,120.6
411,357.08
412,479.9
413,309.12
414,598.02
415,154.96
416,166.97
417,311.53
418,672.09
419,175.36
420,176.77
421,175.96
422,274.38
423,143.15
424,610.64
425,181.94
426,739.73
427,161.94
428,132.73
429,811.97
430,495.4
431,581.48
432,126.3
433,293.77
434,612.5
435,158.77
436,680.09
437,183.45
438,449.44
439,612.6
440,845.31
441,629.27
442,660.31
443,318.97
444,207.24
445,523.58
446,343.23
447,571.67
448,419.12
449,243.84
450,71.56
451,227.76
452,108.24
453,499.79
454,400.43
455,146.43
456,828.24
457,250.33
458,273.81
459,730.63
460,838.51
461,396.2
462,470.33
463,363.2
464,447.83
465,484.49
466,320.92
467,220.87
468,693.99
469,89.86
470,376.71
471,566.19
472,274.37
473,142.28
474,588.27
475,707.43
476,162.97
477,184.48
478,278.98
479,499.82
480,660.43
481,422.85
482,125.67
483,472.55
484,428.55
485,703.4
486,302.61
487,308.71
488,392.66
489,190.1
490,595.66
491,160.8
492,602.96
493,328.04
494,298.95
495,451.09
496,465.54
497,469.52
498,527.76
499,245.42
500,466.6
501,251.05
502,124.88
503,593.27
504,424.89
505,494.41
506,415.76
507,575.61
508,799.94
509,104.21
510,166.92
511,348.42
512,533.35
513,572.6
514,280.07
515,206.89
